URL da vaga no linkedin;Nome da vaga;Nome da empresa contratante;URL da empresa contratante;Modelo de contratação;Tipo de contratação;Nível de experiência;Número de candidaturas para vaga;Data da postagem da vaga;Horário do scraping;Número de funcionários da empresa;Número de seguidores da empresa;Local sede da empresa;URL da candidatura
https://www.linkedin.com/jobs/view/3483532944/?alternateChannel=search&refId=MIZjOMmTrPzxPtoxsvc4TA%3D%3D&trackingId=KzaOrTLSricQk89V9gy3Tg%3D%3D&trk=d_flagship3_search_srp_jobs;Gerente de Planejamento Publicitário;Jüssi;https://www.linkedin.com/company/agencia-jussi/;Híbrido;Tempo integral;Pleno-sênior;Mais de 200 candidaturas;há 1 semana;23-02-23 15:21;363;50.264;São Paulo, SP;https://www.linkedin.com/jobs/view/3483532944/?alternateChannel=search&refId=MIZjOMmTrPzxPtoxsvc4TA%3D%3D&trackingId=KzaOrTLSricQk89V9gy3Tg%3D%3D&trk=d_flagship3_search_srp_jobs
https://www.linkedin.com/jobs/view/3382758043/?alternateChannel=search&refId=MIZjOMmTrPzxPtoxsvc4TA%3D%3D&trackingId=PVC65Zz0CaOBPvHsSAPHcA%3D%3D&trk=d_flagship3_search_srp_jobs;Jr. Customer Support Analyst;Operative;https://www.linkedin.com/company/operative/life/c66e54b6-2b05-4bbc-913e-c815a5b860dc/;Híbrido;Tempo integral;Assistente;Mais de 200 candidaturas;há 1 semana;23-02-23 15:24;924;35.160;New York, NY;https://operative.bamboohr.com/jobs/view.php?id=347&source=aWQ9NA%3D%3D
